Label	Source
AGAP2•cnt-2(ok1767)	AGAP2(cnt-2)
AKAP9•hcp-1(gk237614)	AKAP9(hcp-1)gk237614
ARID1B•let-526(gk110913)	ARID1B(let-526)gk110913
ARX•unc-4(e120)	ARX(unc-4)e120
ARX•unc-4(gk705)	ARX(unc-4)gk705
CACNA1C•unc-2(e55)	CACNA1C(unc-2)e55
CACNA1C•unc-2(gk366)	CACNA1C(unc-2)gk366
CACNA1H•cca-1(ad1650)	CACNA1H(cca-1)
CDKL5•cdkl-1(ok2694)	CDKL5(cdkl-1)
CHD2•chd-1(ok2798)	CHD2(chd-1)
CHD8•chd-7(gk306)	CHD8(chd-7)
CLASP1•cls-3(ok3375)	CLASP1(cls-3)ok3375
CLASP1•cls-3(tm5775)	CLASP1(cls-3)tm5775
CREBBP•cbp-1(ku258)	CREBBP(cbp-1)
CTNNB1•bar-1(ga80)	CTNNB1(bar-1)ga80
CTNNB1•bar-1(mu63)	CTNNB1(bar-1)mu63
CTNNB1•hmp-2(qm39)	CTNNB1(hmp-2)
CTNND2•jac-1(ok3000)	CTNND2(jac-1)
DHCR7•dhcr-7(tm6473)	DHCR7(dhcr-7)
DMD•dys-1(cx18)	DMD(dys-1)
DMPK•mrck-1(ok586)	DMPK1(mrck-1)
DSCAM•F39H12.4(ok711)	DSCAM(igcm-1)
DST•vab-10(e698)	DST(vab-10)e698
DST•vab-10(gk45)	DST(vab-10)gk45
DYRK1A•mbk-1(pk1389)	DYRK1A(mbk-1)
EHMT1•set-11(n4488)	EHMT1(set-11)
FAT1/FAT3•cdh-1(gk747)	FAT1&FAT2(cdh-4)hd40
FAT1/FAT3•cdh-4(hd40)	FAT1&FAT2(cdh-4)ok1323
FAT1/FAT3•cdh-4(ok1323)	FAT1&FAT3(cdh-1)
FOXP1•fkh-7(gk793)	FOXP1(fkh-7)
GABRB3•gab-1(gk189051)	GABRB3(gab-1)gk189051
GABRB3•gab-1(tm3577)	GABRB3(gab-1)tm3577
GAPVD1•rme-6(b1014)	GAPVD1(rme-6)b1014
GAPVD1•rme-6(tm6649)	GAPVD1(rme-6)tm6649
GRIN2B•nmr-2(ok3324)	GRIN2B(nmr-2)
HDAC4•hda-4(ok518)	HDAC4(had-4)
